input,output
List all patients who were diagnosed with NPDR Severe,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""npdr severe""))
}
"
List all patients who were diagnosed with Retinal Detachment,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""retinal detachment""))
}
"
List all patients who went through Central Fields investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""central fields""))
}
"
List all patients who went through Pre Fundus Photo TCNW400 investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""central fields""))
}"
List all patients who came with complaint of Pain,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""central fields""))
}
"
List all patients who were diagnosed with Blepharitis,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""blepharitis""))
}
"
List all patients who went through HRT investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""hrt""))
}"
List all patients who came with complaint of User Defined Complaints,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasComplaint ?comp .
  ?comp rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""user defined complaints""))
}"
List all patients who were diagnosed with Pseudophakic Bullous Keratopathy,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""pseudophakic bullous keratopathy""))
}"
List all patients who were diagnosed with PACS- Primary Angle Closure Suspect,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""pacs""))
}"
List all patients who went through IOP investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""iop""))
}"
List all patients who were diagnosed with Simple Myopia,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""simple myopia""))
}"
List all patients who were diagnosed with S/P VR Surgery,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""vr surgery""))
}
"
List all patients who were diagnosed with RRD,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""rrd""))
}"
List all patients who were diagnosed with NPDR Mild,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""npdr mild""))
}"
List all patients who went through B Scan investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""b scan""))
}"
Show all diagnoses made for patients with complaints of Defective Vision,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?diagnosisLabel
WHERE {
  ?visit ex:hasComplaint ?comp ;
         ex:hasDiagnosis ?diag .
  ?comp rdfs:label ?compLabel .
  ?diag rdfs:label ?diagnosisLabel .
  FILTER (CONTAINS(LCASE(?compLabel), ""defective vision""))
}"
List all patients who were diagnosed with S/P Intravitreal Injection,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""s/p intravitreal injection""))
}"
List all patients who went through CCT investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""cct""))
}"
List all patients who went through Fundus Flourescein Angiography investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasInvestigation ?inv .
  ?inv rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""fundus flourescein angiography""))
}"
List all patients who were diagnosed with S/P PRP - Incomplete,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""prp - incomplete""))
}
"
List all patients who were diagnosed with S/P PPV+SOI,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""ppv+soi""))
}
"
List all patients who went through Echo Cardiogram investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""s/p ppv+soi""))
}
"
List all patients who were diagnosed with PDR- Proliferative Diabetic Retinopathy,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""diabetic""))
}
"
List all patients who went through A-Scan investigation,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasDiagnosis ?diag .
  ?diag rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""pdr""))
}
"
List all patients who came with complaint of Head ache,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasComplaint ?comp .
  ?comp rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""head ache""))
}
"
List all patients who were diagnosed with PSCC- Posterior Subcapsular Cataract,"PREFIX ex: <http://example.org/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?patient
WHERE {
  ?visit ex:hasPatient ?patient ;
         ex:hasComplaint ?comp .
  ?comp rdfs:label ?label .
  FILTER (CONTAINS(LCASE(?label), ""head ache""))
}
"
